FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
300.627533,1185.728394,14.197534,12.190020,8069.203613,1091.723755,3879.395996,99998.000000,2.478029,3.073985,1.152213,1.086004,3.906831,3.038113,3.588764,4.999991,171.000000,,1
33.082348,0.000000,0.564324,1.211909,9.710693,16.969814,18.541943,99998.000000,1.519596,0.000000,0.000000,0.083470,0.987250,1.229677,1.268155,4.999991,938.000000,,0
106.592514,18.215645,1.810155,1.982844,13.932332,45.145935,9.523988,99998.000000,2.027727,1.260445,0.257716,0.297289,1.144024,1.654619,0.978819,4.999991,961.000000,,0
33.418476,94.935982,1.329091,2.026016,22.967686,20.482193,38.177246,99998.000000,1.523987,1.977431,0.123555,0.306643,1.361117,1.311376,1.581805,4.999991,980.000000,,0
1101.085938,1688.831055,45.586910,29.187588,14235.336914,11470.191406,17267.103516,45137.058594,3.041821,3.227586,1.658840,1.465198,4.153368,4.059571,4.237219,4.654533,1213.000000,,1
379.355377,5279.150879,17.922689,10.472377,12718.954102,2898.930176,14217.257812,99998.000000,2.579046,3.722564,1.253403,1.020045,4.104451,3.462238,4.152816,4.999991,1282.000000,,1
13.537613,86.165825,2.735276,0.875782,8.936675,0.000000,8.726134,99998.000000,1.131542,1.935335,0.437001,0.000000,0.951176,0.000000,0.940822,4.999991,1367.000000,,0
87.821793,69.871353,2.565671,1.862578,5.874522,38.873611,5.052787,99998.000000,1.943602,1.844299,0.409201,0.270115,0.768973,1.589655,0.703531,4.999991,1609.000000,,0
35.296474,351.854584,2.981975,2.072273,1.859494,11.903232,11.939179,0.000000,1.547731,2.546363,0.474504,0.316447,0.269395,1.075665,1.076975,0.000000,1729.000000,,0
24.981367,125.008598,1.708391,0.000000,6.583782,52.546909,4.084536,99998.000000,1.397616,2.096940,0.232587,0.000000,0.818475,1.720547,0.611143,4.999991,1835.000000,,0
