Current Date: 27-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A10, LR4-Rep 001, 09.26.2022, 100, 804, 19070.3750806792, 6665.86238286228, 8729.93862427668, 56.9623020957356, 3870.87311121244, 6341.0122783837, 72.4100908147045, 32.8046960961351, 46.922175082864, 426.216223376448,
 A10, LR4-Rep 002, 09.26.2022, 100, 810, 19208.2273990398, 6325.41858152266, 7836.66752626722, 57.8815052761723, 3595.62874367247, 5944.5716944942, 74.5979840070219, 30.937723556795, 43.5300510964117, 136.858671229991,
 A11, LR4-Rep 001, 09.26.2022, 100, 928, 22009.5934824888, 6499.31509134447, 8424.21110740128, 56.2606183804892, 3884.70745918824, 6539.77377008838, 71.1676718643647, 33.9805198457035, 48.5565504017219, 180.201057247827,
 A11, LR4-Rep 002, 09.26.2022, 100, 952, 22602.4837881231, 6810.01884431504, 8723.4567068996, 54.8121610383042, 4054.54651049384, 6490.17750207858, 69.9050487971363, 34.8062276948739, 49.6605248111072, 108.46099124356,
 A12, LR4-Rep 001, 09.26.2022, 100, 690, 16389.8863149998, 6498.23911670568, 8391.64684139784, 55.7705410605638, 3827.83373006893, 6341.13759861003, 69.87331575644, 33.2422307140646, 47.7239441815912, 115.987799050506,
 A12, LR4-Rep 002, 09.26.2022, 100, 696, 16526.4325910398, 6701.45448377061, 8583.72441624344, 54.466334187335, 3777.10010458832, 6130.46907167585, 71.1162393038533, 35.7795426836028, 50.3728725195004, 438.798199631428,
 B10, DR4-Rep 001, 09.26.2022, 100, 961, 22795.61885683, 6242.66180414037, 7806.12588617269, 56.1474763082895, 3449.5732620491, 5296.98019228787, 70.6294096292054, 32.363451251767, 45.081180032743, 96.2795822136147,
 B10, DR4-Rep 002, 09.26.2022, 100, 1012, 24005.3759449657, 6587.34539609255, 8274.87732827755, 54.4255069002074, 3604.22093001028, 5547.62691339774, 69.4217628449279, 36.0223486442532, 49.3614045039618, 266.802046858399,
 B11, DR4-Rep 001, 09.26.2022, 100, 1347, 31940.9871515625, 6360.12653868255, 7981.6459019423, 55.6432530589997, 3484.50961962764, 5535.50373785369, 71.4165032936052, 33.6358218174808, 47.1534563113523, 177.575756300525,
 B11, DR4-Rep 002, 09.26.2022, 100, 1297, 30805.9582203748, 6704.6094384771, 8513.96134003283, 53.9228984051711, 3818.38334606841, 6066.91687109359, 68.0383267554362, 38.333481734758, 51.4737724743815, 185.951672435123,
